
id,socialId,name,registerId,represent,type,builtTime,regAmount,checkTime,regLocate,state,locate,busScope
1	,91075558C47CR0QEWM	,1	,972761407486200	,暴瑗	,两合公司	,20021009	,1062.27	,20191021	,洛阳市市场监督管理局	,存续	,洛阳市	,废金属处理设施，纺织废料处理设施，皮革废料及处理设施，化工废料及处理设施，废气处理设施，水、污水处理设施，废料回收再利用	
2	,9149328751CDRK2BYX	,2	,240573402367169	,国歌海	,有限责任公司	,19960125	,753.43	,20190129	,桂林市市场监督管理局	,存续	,桂林市	,木制玩具，塑料玩具，填充，绒毛玩具，电子玩具，电动玩具，玩具珠，球，娃娃，玩具车，玩具枪，模型玩具，益智玩具	
3	,911006894RA6N60840	,3	,778779815578694	,亢上欣	,股份有限公司	,20151016	,1368.25	,20180224	,宿迁市市场监督管理局	,存续	,宿迁市	,水利、火力发电设备，水利、防洪工程及用品，河道疏浚工程，大坝、水库、闸门、泻洪工程，农田水利工程，江河、湖泊治理工程，电力工程，电力、太阳能及再生能源，其他水利水电设备，其他水利水电设施	
4	,91096309Q6NTDLLBJG	,4	,857743804432020	,程山	,两合公司	,19980524	,632.2	,20220914	,山南市市场监督管理局	,存续	,山南市	,办公木制品，其他材料办公家具，医用家具，剧场桌椅，影院桌椅，实验室家具，校园桌椅，保险柜，档案柜，密集架，其他办公家具	
5	,914035306ADB9HYE5D	,5	,841591289148118	,訾才	,无限责任公司	,20050919	,1873.46	,20220911	,定西市市场监督管理局	,存续	,定西市	,磁性材料，半导体材料，绝缘材料，电工陶瓷材料，电子元器件、组件，电池，照明与灯具，插头，插座，充电器，电动机	
6	,915890542AT1026PUN	,6	,808024810009042	,刁友琼	,股份两合公司	,19910811	,792.61	,20170315	,宜昌市市场监督管理局	,存续	,宜昌市	,计算机，消耗品，插卡类，主机配件，电脑外设，机箱，UPS与电源，网络设备，配件，电脑，电子记事簿，笔记本电脑，服务器，工作站，二手电脑及用品	
7	,91695660N7HTU9WFB4	,7	,207985868600011	,盛上泰	,两合公司	,20170529	,614.93	,20200214	,崇左市市场监督管理局	,存续	,崇左市	,体育器材，体育场馆专用材料，体育场馆建设工程，康复器械，比赛服装，体育设施，其他体育用品	
8	,91781476YG2X173NTU	,8	,385566718092331	,容飞	,股份两合公司	,20180109	,1029.73	,20221114	,唐山市市场监督管理局	,存续	,唐山市	,纸浆，文化用纸，包装用纸，家用纸品，壁纸，废纸，其它用途用纸，标签，标牌，胶带，索具，托盘，包装材料，纸制包装用品	
9	,91041986E46TH7HPW9	,9	,706616731638509	,邹义茜	,无限责任公司	,20091006	,512.64	,20210702	,武汉市市场监督管理局	,存续	,武汉市	,木制玩具，塑料玩具，填充，绒毛玩具，电子玩具，电动玩具，玩具珠，球，娃娃，玩具车，玩具枪，模型玩具，益智玩具	
10	,91240124N79UYRD6XN	,10	,467128659159843	,双巧	,两合公司	,19991005	,419.3	,20210613	,鹤壁市市场监督管理局	,存续	,鹤壁市	,无机化工原料，有机化工原料，树脂，其他聚合物，化学纤维，食品添加剂，饲料添加剂，化学试剂，催化剂及化学助剂，日用化学品，香料，香精，染料，颜料，涂料，胶粘剂，火工产品，油墨，塑料及制品，橡胶及制品，	
11	,9199592775A4GE32LY	,11	,959745837708953	,西漆孝胜	,无限责任公司	,19930130	,675.73	,20160509	,黄石市市场监督管理局	,存续	,黄石市	,水利、火力发电设备，水利、防洪工程及用品，河道疏浚工程，大坝、水库、闸门、泻洪工程，农田水利工程，江河、湖泊治理工程，电力工程，电力、太阳能及再生能源，其他水利水电设备，其他水利水电设施	
12	,91967393GHR67J2L15	,12	,584274079481427	,石宁	,两合公司	,20191003	,1731.68	,20170317	,贺州市市场监督管理局	,存续	,贺州市	,仪器，仪表，行业专用机械及设备，磨具，磨料，通用零部件，焊接、切割设备与材料，五金工具，气动工具，电动工具，减速机，变速机，泵及真空设备	
13	,912418432QRXE0D5W4	,13	,374740636759949	,糜贝庆	,股份两合公司	,20140313	,598.13	,20210719	,武威市市场监督管理局	,存续	,武威市	,救灾物资，防汛物资，抗旱物资，农用专用物资，储备物资，燃料，锅炉，供热设备，殡仪火化设备，其他物资；劳保用品	
14	,91756348U7KARJYTMT	,14	,226002878932917	,弘眉	,有限责任公司	,20130812	,84.92	,20170321	,陇南市市场监督管理局	,存续	,陇南市	,废金属处理设施，纺织废料处理设施，皮革废料及处理设施，化工废料及处理设施，废气处理设施，水、污水处理设施，废料回收再利用	
15	,91448459CX6BEPYFDX	,15	,954429582018049	,干智波	,有限责任公司	,20141218	,721.19	,20210503	,贵港市市场监督管理局	,存续	,贵港市	,木制玩具，塑料玩具，填充，绒毛玩具，电子玩具，电动玩具，玩具珠，球，娃娃，玩具车，玩具枪，模型玩具，益智玩具	
16	,91038512BFH8X422XQ	,16	,416100374303059	,费孝颖	,股份有限公司	,20080103	,1652.1	,20200418	,白山市市场监督管理局	,存续	,白山市	,体育器材，体育场馆专用材料，体育场馆建设工程，康复器械，比赛服装，体育设施，其他体育用品	
17	,918079783BTEME3A6K	,17	,827428728989647	,杜善	,股份有限公司	,20040302	,1471.33	,20180921	,安康市市场监督管理局	,存续	,安康市	,水利、火力发电设备，水利、防洪工程及用品，河道疏浚工程，大坝、水库、闸门、泻洪工程，农田水利工程，江河、湖泊治理工程，电力工程，电力、太阳能及再生能源，其他水利水电设备，其他水利水电设施	
18	,91773165P8ABC99WMB	,18	,815302768673553	,百马露	,无限责任公司	,20170609	,1297.72	,20120629	,绵阳市市场监督管理局	,存续	,绵阳市	,服饰，服装辅料，帽子，领带，围巾，头巾，手套，袜子，鞋及鞋材，针织服装，梭织服装，品牌服装，男装，女装，婴儿服装，儿童服装	
19	,91021683YHMMG5D1M7	,19	,191701415394847	,蓟礼行	,有限责任公司	,20060814	,2597.02	,20191031	,兰州市市场监督管理局	,存续	,兰州市	,救灾物资，防汛物资，抗旱物资，农用专用物资，储备物资，燃料，锅炉，供热设备，殡仪火化设备，其他物资；劳保用品	
20	,91837083T1A30K4649	,20	,588571514291014	,鄢武	,股份两合公司	,20070909	,183.68	,20140322	,内江市市场监督管理局	,存续	,内江市	,废金属处理设施，纺织废料处理设施，皮革废料及处理设施，化工废料及处理设施，废气处理设施，水、污水处理设施，废料回收再利用	
21	,91819428D56UM6RAY6	,21	,205117868848587	,乌宜	,股份两合公司	,19981126	,1893.58	,20200719	,柳州市市场监督管理局	,存续	,柳州市	,服饰，服装辅料，帽子，领带，围巾，头巾，手套，袜子，鞋及鞋材，针织服装，梭织服装，品牌服装，男装，女装，婴儿服装，儿童服装	
